,artist,year,year
,count,amin,amax
213,27,2004,2008
amir,27,2010,2016
baby-k,27,2012,2016
big-scoob,26,2016,2016
crowder,26,2014,2016
futuristic,26,2014,2016
don-moen,26,2008,2015
defari,26,2006,2007
3plusss,26,2014,2014
devin-the-dude,26,2008,2013
dj-cut-killer,26,2002,2002
blaqstarr,26,2008,2012
company-flow,26,2006,2007
casa-degli-specchi,25,2013,2014
freundeskreis,25,2006,2016
danger-mouse,25,2010,2011
donnis,25,2010,2014
git-fresh,25,2008,2013
grand-puba,25,2006,2007
christon-gray,25,2014,2016
boyz-n-da-hood,25,2005,2011
donald-lawrence,25,2008,2016
clyde-carson,25,2008,2016
digable-planets,25,1993,2010
binary-star,24,2016,2016
baauer,24,2013,2016
dub-fx,24,2013,2016
big-tuck,24,2004,2013
crucial-conflict,24,2007,2007
brigitte,24,2011,2015
cunninlynguists,24,2011,2013
andre-merritt,24,2009,2013
benefit,24,2006,2010
da-grym-reefer,24,2011,2012
def-squad,24,2006,2008
big-ed,24,2006,2007
gensu-dean,23,2016,2016
babyfather,23,2016,2016
gemitaiz-madman,23,2012,2014
alias,23,2006,2016
fredro-starr,23,2006,2012
bryson-tiller,22,2015,2016
69-boyz,22,2006,2008
brenton,22,2016,2016
bumpy-knuckles,22,2007,2016
flipmode-squad,22,2006,2008
cheka,22,2006,2012
choo-jackson,22,2013,2016
boom-shaka,22,2007,2007
avery-storm,22,2009,2015
audio-bullys,22,2008,2014
bonez-mc,22,2016,2016
gemitaiz,22,2016,2016
compton-menace,22,2012,2016
brisco,22,2008,2012
diggy,21,2010,2016
chuuwee,21,2012,2016
banks-steelz,21,2016,2016
gravediggaz,21,2006,2014
d4l,21,2005,2008
gilbere-forte,21,2012,2014
cyssero,21,2007,2016
g-dep,21,112,2007
ali,21,2006,2015
dj-hi-tek,20,2000,2000
alligatoah,20,2014,2015
diggy-dex,20,2014,2015
chubby-jag,20,2012,2016
40winks,20,2015,2015
collie-buddz,20,2008,2015
gloc9,20,2006,2015
casual,20,2006,2007
cashis,20,2012,2016
curse,20,2006,2014
cannibal-ox,20,2007,2015
evidence,20,2011,2013
baby-aka-the-1-stunna,20,2006,2007
bad-boy-s-da-band,20,2007,2010
bas,20,2013,2016
dcaelek,20,2015,2016
the-glitch-mob,20,2010,2014
cashmere-cat,19,2012,2016
bobby-brackins,19,2010,2016
cartel-de-santa,19,2008,2016
cool-breeze,19,2006,2008
chocquibtown,19,2010,2016
d-why,19,2012,2015
cali-swag-district,19,2010,2014
danger-doom,19,2007,2015
city-high,19,2006,2007
bg-knocc-out-dresta,19,1995,2011
eyshila,19,2010,2016
gabriel-antonio,19,2009,2014
first-degree,19,2006,2006
egyptian-lover,19,2013,2016
freestyle,19,2006,2016
freekey-zekey,19,2007,2012
andrae-crouch,19,2011,2015
ambassador,19,2005,2009
goldie-lookin-chain,19,2004,2007
absolute-beginner,18,2006,2006
cru,18,2008,2008
casper,18,2013,2016
cyhi-da-prynce,18,2011,2013
ces-cru,18,2013,2016
dj-spinking,18,2012,2016
